cliente,cnpj,status_cup,data_inativacao_estimada,parcela_id,data_quitacao,valor_pago
NP Beauty,53217230000173,cancelado/inativo,1734577200000,d596b144-b6fa-11ef-907a-576613629ef4,1755486000000,1997.00
O Canto do Vale,40157671000185,cancelado/inativo,1747364400000,26254291-1803-4863-ad5e-210ec62dcbd2,1767927600000,983.52
O Canto do Vale,40157671000185,cancelado/inativo,1747364400000,b60a2f8f-550d-4c92-8ab7-4a89790adbd9,1770778800000,983.52
ORIS,27479498000173,cancelado/inativo,1768878000000,79148a07-dd84-4594-ba82-a6a6eebc5ac8,1771556400000,3597.00
Ouvi Dizer,39844905000183,cancelado/inativo,1748746800000,1a53701a-f870-46f3-9133-64398b36531e,1767927600000,983.52
Ozean Purificadores,31368701000101,cancelado/inativo,1754362800000,59af3f2a-4911-418f-9e7f-8433eb5a297b,1758423600000,1822.25
Perin & Lima Construção,48206333000106,cancelado/inativo,1747710000000,a27a2ade-a57c-4c07-8d9e-b834672a6fc9,1751943600000,1967.04
Pilhei,54613961000109,cancelado/inativo,1738810800000,b63ab642-9788-11ef-a0ff-9f82a8e1638a,1753930800000,1997.00
Pipa,38005940000146,cancelado/inativo,1740106800000,c7760fd6-8eac-4b04-9abd-48b21fc871cb,1748574000000,1182.00
Pipa,38005940000146,cancelado/inativo,1740106800000,cb500610-393a-11ef-92ed-0b716b460ec0,1743562800000,1182.00
Pousada Flor de Anis ,61702761000180,cancelado/inativo,1762225200000,3b6cf712-c573-45fc-8cf4-a249fef29fb5,1767668400000,1967.04
Pousada Flor de Anis ,61702761000180,cancelado/inativo,1762225200000,62fcdc8c-35ca-4cdc-839c-cac25e90eff5,1764903600000,1967.04
Pousada Pau Brasil,13182857000111,cancelado/inativo,1754622000000,969bd5ff-9981-4930-a601-00b42b8ff1fd,1757473200000,1770.04
Power Saúde,12435361000140,cancelado/inativo,1761620400000,090b8550-e848-40be-8f10-3e90cd1c12f6,1772074800000,820.83
Power Saúde,12435361000140,cancelado/inativo,1761620400000,72fce733-1d5b-4aeb-a8e6-4fc1954514b1,1769569200000,820.83
Power Saúde,12435361000140,cancelado/inativo,1761620400000,88ce9224-3b6f-48f4-9b75-d17663700991,1773802800000,820.85
Profit,44768925000152,cancelado/inativo,1732590000000,b5f7772e-0368-429b-a325-e1b16fef688b,1739502000000,1800.00
Programasom,53130563000160,cancelado/inativo,1744081200000,a8f27979-4cf1-4421-84f9-ec4908873860,1753844400000,983.52
Protect Pet,46325397000192,cancelado/inativo,1736996400000,5ca6c34e-7f3e-11ef-bfcf-7fb419cb56ae,1743994800000,985.00
Protect Pet,46325397000192,cancelado/inativo,1736996400000,5ca8877e-7f3e-11ef-acd9-abdad0670f89,1754017200000,985.00
Protect Pet,46325397000192,cancelado/inativo,1736996400000,5ca8c8ce-7f3e-11ef-a8e8-03c92768aca9,1749178800000,985.00
