"id","contrato_id","plano_servico_id","quantidade","valor_unitario","valor_total","modalidade","valor_original","valor_negociado","desconto_percentual","tipo_desconto","valor_desconto","valor_final","economia","vigencia_desconto","periodo_desconto","apos_periodo","forma_pagamento","num_parcelas","valor_parcela","observacoes"
"325","221","38","1","17000.00","17000.00","pontual","20000.00","17000.00","15.00",NULL,"0.00","17000.00","3000.00","permanente",,"valor_original","parcelado","5","0.00",NULL
"343","233","58","1","1997.00","1997.00","pontual","3000.00","1997.00","33.43",NULL,"0.00","1997.00","1003.00","permanente",,"valor_original","avista","2","0.00",NULL
"321","218","25","1","5997.00","5997.00","recorrente","5997.00","5997.00","0.00",NULL,"0.00","5997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"316","215","28","1","2597.00","2597.00","recorrente","2697.00","2597.00","3.71",NULL,"0.00","2597.00","100.00","permanente",,"valor_original","avista","2","0.00",NULL
"324","220","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","parcelado","2","0.00",NULL
"119","90","42","1","897.00","897.00","recorrente","1497.00","897.00","40.08",NULL,"0.00","897.00","600.00","permanente",,"valor_original","avista","2","0.00",NULL
"161","114","21","1","3997.00","3997.00","recorrente","2997.00","3997.00","66.73",NULL,"0.00","3997.00","-1000.00","permanente",,"valor_original","avista","2","0.00",NULL
"126","96","24","1","3997.00","3997.00","recorrente","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"128","98","26","1","9997.00","9997.00","pontual","9997.00","9997.00","0.00",NULL,"0.00","9997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"501","330","24","1","5497.00","5497.00","pontual","5497.00","5497.00","0.00",NULL,"0.00","5497.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"142","106","22","1","1997.00","1997.00","recorrente","1997.00","1997.00","0.00",NULL,"0.00","1997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"141","106","21","1","2497.00","2497.00","recorrente","2997.00","2497.00","16.68",NULL,"0.00","2497.00","500.00","permanente",,"valor_original","avista","2","0.00",NULL
"328","222","42","1","1497.00","1497.00","recorrente","1497.00","1497.00","0.00",NULL,"0.00","1497.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"339","231","24","1","3997.00","3997.00","recorrente","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"134","103","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"135","103","21","1","2997.00","2997.00","recorrente","2997.00","2997.00","0.00",NULL,"0.00","2997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"327","222","25","1","5997.00","5997.00","recorrente","5997.00","5997.00","0.00",NULL,"0.00","5997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"164","114","51","1","2500.00","2500.00","pontual","2500.00","2500.00","0.00",NULL,"0.00","2500.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"163","114","25","1","2998.50","2998.50","recorrente","5997.00","2998.50","50.00",NULL,"0.00","2998.50","2998.50","permanente",,"valor_original","avista","2","0.00",NULL
"184","129","21","1","2997.00","2997.00","recorrente","2997.00","2997.00","0.00",NULL,"0.00","2997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"167","117","22","1","1750.00","1750.00","recorrente","1997.00","1750.00","12.37",NULL,"0.00","1750.00","247.00","permanente",,"valor_original","avista","2","0.00",NULL
"162","114","22","1","2750.00","2750.00","recorrente","1997.00","2750.00","86.23",NULL,"0.00","2750.00","-753.00","permanente",,"valor_original","avista","2","0.00",NULL
"171","120","25","1","5997.00","5997.00","pontual","5997.00","5997.00","0.00",NULL,"0.00","5997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"172","121","22","1","1997.00","1997.00","recorrente","1997.00","1997.00","0.00",NULL,"0.00","1997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"173","121","25","1","5997.00","5997.00","pontual","5997.00","5997.00","0.00",NULL,"0.00","5997.00","0.00","permanente",,"valor_original","parcelado","6","0.00",NULL
"176","123","32","1","3000.00","3000.00","recorrente","2997.00","3000.00","89.99",NULL,"0.00","3000.00","-3.00","permanente",,"valor_original","avista","2","0.00",NULL
"177","124","21","1","2997.00","2997.00","recorrente","2997.00","2997.00","0.00",NULL,"0.00","2997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"178","124","51","1","2997.00","2997.00","pontual","2500.00","2997.00","88.04",NULL,"0.00","2997.00","-497.00","permanente",,"valor_original","parcelado","10","0.00",NULL
"179","124","46","1","5000.00","5000.00","pontual","5000.00","5000.00","0.00",NULL,"0.00","5000.00","0.00","permanente",,"valor_original","parcelado","10","0.00",NULL
"244","168","46","1","5000.00","5000.00","pontual","5000.00","5000.00","0.00",NULL,"0.00","5000.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"183","128","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","parcelado","2","0.00",NULL
"185","130","25","1","5997.00","5997.00","recorrente","5997.00","5997.00","0.00",NULL,"0.00","5997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"186","130","22","1","2750.00","2750.00","recorrente","2750.00","2750.00","0.00",NULL,"0.00","2750.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"191","133","51","1","2997.00","2997.00","pontual","2500.00","2997.00","88.04",NULL,"0.00","2997.00","-497.00","permanente",,"valor_original","parcelado","3","0.00",NULL
"190","133","21","1","2997.00","2997.00","recorrente","2997.00","2997.00","0.00",NULL,"0.00","2997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"311","210","22","1","2750.00","2750.00","recorrente","2750.00","2750.00","0.00",NULL,"0.00","2750.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"193","135","25","1","5997.00","5997.00","recorrente","5997.00","5997.00","0.00",NULL,"0.00","5997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"194","136","32","1","3000.00","3000.00","recorrente","2997.00","3000.00","89.99",NULL,"0.00","3000.00","-3.00","permanente",,"valor_original","avista","2","0.00",NULL
"199","140","22","1","2000.00","2000.00","recorrente","2750.00","2000.00","27.27",NULL,"0.00","2000.00","750.00","permanente",,"valor_original","avista","2","0.00",NULL
"196","138","24","1","3997.00","3997.00","recorrente","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"200","140","27","1","1750.00","1750.00","recorrente","1697.00","1750.00","89.69",NULL,"0.00","1750.00","-53.00","permanente",,"valor_original","avista","2","0.00",NULL
"257","178","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"254","175","26","1","9997.00","9997.00","pontual","9997.00","9997.00","0.00",NULL,"0.00","9997.00","0.00","permanente",,"valor_original","parcelado","12","0.00",NULL
"253","175","22","1","1997.00","1997.00","recorrente","2750.00","1997.00","27.38",NULL,"0.00","1997.00","753.00","permanente",,"valor_original","avista","2","0.00",NULL
"523","342","56","1","1000.00","1000.00","pontual","1500.00","1000.00","33.33",NULL,"0.00","1000.00","500.00","permanente",,"valor_original","avista","2","0.00",NULL
"255","176","45","1","7000.00","7000.00","pontual","2497.00","7000.00","71.97",NULL,"0.00","7000.00","-4503.00","permanente",,"valor_original","parcelado","2","0.00",NULL
"252","174","22","1","2750.00","2750.00","recorrente","2750.00","2750.00","0.00",NULL,"0.00","2750.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"231","158","21","1","2497.00","2497.00","recorrente","2997.00","2497.00","16.68",NULL,"0.00","2497.00","500.00","permanente",,"valor_original","avista","2","0.00",NULL
"230","158","24","1","3200.00","3200.00","pontual","3997.00","3200.00","19.94",NULL,"0.00","3200.00","797.00","permanente",,"valor_original","parcelado","3","0.00",NULL
"216","148","40","1","12000.00","12000.00","pontual","5000.00","12000.00","76.00",NULL,"0.00","12000.00","-7000.00","permanente",,"valor_original","avista","2","0.00",NULL
