Criativo,,"Último atualização: segunda-feira, 8 de dezembro",,,,,,,,,,,,,,,,,,,,,,,,,
Funil,"ADV+Creators, Remarketing, Creators, Geral, IA, Google, IFV",-,,,,,,,,,,,,,,,,,,,,,,,,,
Data Inicial,01/11/2025,Investimento,,,,,,,,,,,,,,,,,,,,,,,,,
Data final,08/12/2025, Descrescente,,,,,,,,,,,,,,,,,,,,,,,,,
Todos,AD ID,AD Name,Link,Data de Criação,Status,Investimento,CTR,CPM,Leads,CPL,MQL,% MQL,CPMQL,RA,% RA,CPRA,% RA MQL,RR,% RR,CPRR,Ganhos Aceleração,Ganhos Pontuais,CAC Aceleração,Lead Time Cliente Único,Clientes únicos,% RR > Cliente,CAC Único
Pausado,120234676163860450,TP724 - vv - REELS 2 - HOOK1 -  - 03.09 — Cópia,https://fb.me/2m01FhM84Cnu4a7,02/10/2025,Pausado,R$ 1.248,"1,64%",R$ 91,23,R$ 54,0,0%,-,4,17%,R$ 312,"0,00%",4,"100,00%","R$ 311,94",,,,,0,0%,-
Ativo,120236071168450450,TP863 - hOOK1BODY2CTA2V_generico -  - 21.10,https://fb.me/1Qtd7Bw7d0kXgFI,21/10/2025,Ativo,R$ 1.174,"0,64%",R$ 71,14,R$ 84,5,36%,"R$ 234,75",1,7%,R$ 1.174,"0,00%",0,"0,00%",,,,,,0,-,-
Pausado,120236071168460450,TP864 - HOOK2BODY2CTA2V._generico -  - 21.10,https://fb.me/1RfOWfKqOezBZ6a,21/10/2025,Pausado,R$ 894,"1,22%",R$ 110,15,R$ 60,1,7%,"R$ 894,12",2,13%,R$ 447,"0,00%",1,"50,00%","R$ 894,12",,,,,0,0%,-
Pausado,120236070725080450,TP861 - HOOK3BODY2CTA1Vmp4_generico -  - 21.10,https://fb.me/1RfO3jrPSOTAW9u,21/10/2025,Pausado,R$ 749,"0,96%",R$ 109,3,R$ 250,0,0%,-,1,33%,R$ 749,"0,00%",1,"100,00%","R$ 748,79",,,,,0,0%,-
Pausado,120237699466590450,TP900 - HOOK3BODYCTA2 -  - 13.10,https://fb.me/1YG6yxzna3V4O6Y,13/11/2025,Pausado,R$ 729,"1,01%",R$ 103,10,R$ 73,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120236071168470450,TP865 - hook3body2cta2V._generico -  - 21.10,https://fb.me/2lTFHrDD5XxeL1b,21/10/2025,Pausado,R$ 668,"0,90%",R$ 82,12,R$ 56,1,8%,"R$ 667,65",0,0%,-,-,0,,,,,,,0,-,-
Pausado,120236071168490450,TP866 - hook4body2cta2V_generico -  - 21.10,https://fb.me/2asnGqgqVokp30p,21/10/2025,Pausado,R$ 663,"1,00%",R$ 82,9,R$ 74,1,11%,"R$ 662,69",0,0%,-,-,0,,,,,,,0,-,-
Pausado,120235998177240450,TP832 - hook 9 body 2 cta 2 -  - 20.10,https://fb.me/xQjs7W8rD3UbRBc,21/10/2025,Pausado,R$ 646,"1,00%",R$ 83,7,R$ 92,1,14%,"R$ 645,89",0,0%,-,-,0,,,,,,,0,-,-
,120235997280960450,TP819 - vertical hook 5 body 2 cta 1 -  - 20.10,https://fb.me/2nYS8FgVUo55YWZ,20/10/2025,Pausado,R$ 628,"1,22%",R$ 134,5,R$ 126,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120233674480800450,TP755 - vv-remarketing-esther- insta - 3x - 1h -  - 15.09,https://fb.me/2huxVLq3i1ZdFss,15/09/2025,Pausado,R$ 620,"1,03%",R$ 177,4,R$ 155,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120234887297950450,TP804 - vertical hook 4 body 1 cta 1 -  - 06.10,https://fb.me/1QypXp3N6UUaF4o,06/10/2025,Pausado,R$ 606,"1,13%",R$ 111,8,R$ 76,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120237699466640450,TP905 - hook4body2cta2 -  - 13.10,https://fb.me/xFzi1nMcczOosFT,13/11/2025,Pausado,R$ 605,"0,87%",R$ 128,3,R$ 202,1,33%,"R$ 604,75",1,33%,R$ 605,"100,00%",1,"100,00%","R$ 604,75",,,,,0,0%,-
Pausado,120234887298010450,TP793 - vertical hook 6 body 1 cta 2 -  - 06.10,https://fb.me/2kVAn3xhXoIpMHX,06/10/2025,Pausado,R$ 604,"0,76%",R$ 121,6,R$ 101,1,17%,"R$ 604,20",1,17%,R$ 604,"100,00%",1,"100,00%","R$ 604,20",,,,,0,0%,-
Pausado,120235998177250450,TP821 - vertical hook 7 body 2 cta 1 -  - 20.10,https://fb.me/2e2xOoevkjynce7,21/10/2025,Pausado,R$ 586,"0,83%",R$ 108,6,R$ 98,1,17%,"R$ 585,99",0,0%,-,-,0,,,,,,,0,-,-
Pausado,120238257743760450,TP923 - vv-black-friday-2025-2- HOOK1 -  - 14.11,https://fb.me/1YLG1RVvY8Gmut2,21/11/2025,Pausado,R$ 583,"0,66%",R$ 61,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120235996076180450,TP815 - vertical hook 1 body 2 cta 1 -  - 20.10,https://fb.me/22fbxV8vtF5H0Ph,20/10/2025,Pausado,R$ 569,"0,85%",R$ 108,3,R$ 190,0,0%,-,1,33%,R$ 569,"0,00%",1,"100,00%","R$ 569,24",1,1,"R$ 569,24",4,1,100%,R$ 569
