Criativo,,"Último atualização: segunda-feira, 8 de dezembro",,,,,,,,,,,,,,,,,,,,,,,,,
Funil,"ADV+Creators, Remarketing, Creators, Geral, IA, Google, IFV",-,,,,,,,,,,,,,,,,,,,,,,,,,
Data Inicial,01/11/2025,Investimento,,,,,,,,,,,,,,,,,,,,,,,,,
Data final,08/12/2025, Descrescente,,,,,,,,,,,,,,,,,,,,,,,,,
Todos,AD ID,AD Name,Link,Data de Criação,Status,Investimento,CTR,CPM,Leads,CPL,MQL,% MQL,CPMQL,RA,% RA,CPRA,% RA MQL,RR,% RR,CPRR,Ganhos Aceleração,Ganhos Pontuais,CAC Aceleração,Lead Time Cliente Único,Clientes únicos,% RR > Cliente,CAC Único
Pausado,120237700711190450,TP911 - HOOK2BODY2minimal -  - 13.11,https://fb.me/1QCFUoZC7ooPfuG,13/11/2025,Pausado,R$ 10,"0,00%",R$ 60,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120237695786250450,TP893 - hook4body1cta1V -  - 13.10,https://fb.me/2FmDwbNjA6XisjG,13/11/2025,Pausado,R$ 10,"0,65%",R$ 64,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120234885862200450,TP798 - vertical hook 1 body 1 cta 2 -  - 06.10,https://fb.me/1PBwolSr5VQcr0m,06/10/2025,Ativo,R$ 10,"1,16%",R$ 115,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120237696152140450,TP894 - HOOK1BODY2CTA1V -  - 13.10,https://fb.me/1RAQVvH7GSr4l7J,13/11/2025,Pausado,R$ 10,"0,00%",R$ 102,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120237696152110450,TP897 - HOOK4body2cta1 -  - 13.10,https://fb.me/1XpIixzL8tLKT8b,13/11/2025,Ativo,R$ 9,"1,50%",R$ 71,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120233674303740450,TP752 - vv-remarketing-esther- insta - 2x - 1h -  - 15.09,https://fb.me/2UboBVDysqaf6AN,15/09/2025,Pausado,R$ 9,"0,00%",R$ 138,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120237698153090450,TP908 - HOOK3BODY1minimal -  - 13.11,https://fb.me/1Q7DZ75i7ZfevCH,13/11/2025,Ativo,R$ 8,"0,00%",R$ 73,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120237695634230450,TP892 - HOOK3BODY1CTA1V -  - 13.10,https://fb.me/2AtBHk2nbP3sFQE,13/11/2025,Pausado,R$ 8,"0,00%",R$ 75,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120235524852040450,TP546 - vv-crators-Roberto-natural-tech-simples3-sabe-uma-coisa - adc81 - 18.06 — Cópia,https://fb.me/1QLO74FCLcs2TkK,15/10/2025,Ativo,R$ 7,"0,00%",R$ 56,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120234885449180450,TP807 - vertical hook 1 body 1 cta 1 -  - 06.10,https://fb.me/1RfVvPAAjrTZfiR,06/10/2025,Pausado,R$ 6,"0,00%",R$ 102,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120237698153080450,TP907 - HOOK2BODY1minimal -  - 13.11,https://fb.me/26Chcze2bywJ4c0,13/11/2025,Pausado,R$ 5,"0,00%",R$ 63,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120236070725120450,TP860 - HOOK2BODY2CTA1V_generico -  - 21.10,https://fb.me/1SQjoQ9u8OINpTu,21/10/2025,Ativo,R$ 5,"0,00%",R$ 89,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120234885862210450,TP797 - vertical hook 2 body 1 cta 2 -  - 06.10,https://fb.me/27KXNZStFRG8NZu,06/10/2025,Ativo,R$ 5,"0,00%",R$ 89,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120235998177270450,TP823 - vertical hook 9 body 2 cta 1 -  - 20.10,https://fb.me/2IkGwTY6EDNRc12,21/10/2025,Pausado,R$ 3,"0,00%",R$ 84,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120235524830970450,TP546 - vv-crators-Roberto-natural-tech-simples3-sabe-uma-coisa - adc81 - 18.06 — Cópia,https://fb.me/1YdMBTdGEkyrf97,15/10/2025,Pausado,R$ 3,"1,32%",R$ 41,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120234885795650450,TP806 - vertical hook 2 body 1 cta 1 -  - 06.10,https://fb.me/225tChvACjF2yJ8,06/10/2025,Pausado,R$ 3,"0,00%",R$ 66,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120234885795640450,TP805 - vertical hook 3 body 1 cta 1 -  - 06.10,https://fb.me/25TfhHMWq34CowK,06/10/2025,Pausado,R$ 2,"0,00%",R$ 84,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120234887730180450,TP799 - vertical hook 9 body 1 cta 1 -  - 06.10,https://fb.me/2ee5Sgqll7upWjE,06/10/2025,Ativo,R$ 2,"0,00%",R$ 49,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120234887730220450,TP801 - vertical hook 7 body 1 cta 1 -  - 06.10,https://fb.me/2cyY1GDkg0AsUbT,06/10/2025,Ativo,R$ 1,"0,00%",R$ 49,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120233674480790450,TP757 - vv-remarketing-esther- insta - 3x - 3h -  - 15.09,https://fb.me/2zFDFw9nKsYpVSR,15/09/2025,Pausado,R$ 1,"0,00%",R$ 56,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120234887730170450,TP800 - vertical hook 8 body 1 cta 1 -  - 06.10,https://fb.me/27it0fE9zzSCN66,06/10/2025,Pausado,R$ 0,"0,00%",R$ 49,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120234887730190450,TP792 - vertical hook 7 body 1 cta 2 -  - 06.10,https://fb.me/2AMhtA3bdCxpDYg,06/10/2025,Pausado,R$ 0,"0,00%",R$ 34,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120234887730210450,TP790 - vertical hook 9 body 1 cta 2 -  - 06.10,https://fb.me/2hDepneX84VOERT,06/10/2025,Pausado,R$ 0,"0,00%",R$ 14,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120234744373530450,TP783 - CREATORS HOOK 4 REELS -  - 03.10,https://fb.me/xIHmf5B80crnrw4,03/10/2025,Pausado,R$ 0,-,-,0,-,0,-,-,0,-,-,-,0,,,1,,"R$ 0,00",15,1,-,R$ 0
